,Magnitude,Place,Datetime,Depth
5160,4.5,"17 km N of Santa Monica, Philippines",2021-06-06 13:51:27 (UTC),21.8 km
5161,4.5,"22 km NNE of Santa Monica, Philippines",2021-06-06 13:31:15 (UTC),26.9 km
5189,3.0,"7 km E of P?hala, Hawaii",2021-06-06 13:26:15 (UTC),34.5 km
5190,4.5,"48 km WNW of San Antonio de los Cobres, Argentina",2021-06-06 12:02:11 (UTC),204.4 km
5191,2.9,"147 km W of Gold Beach, Oregon",2021-06-06 11:08:41 (UTC),10.0 km
5192,2.6,"13km WSW of Niland, CA",2021-06-06 11:05:03 (UTC),3.2 km
5193,3.1,"12km WSW of Niland, CA",2021-06-06 11:03:20 (UTC),5.6 km
5194,2.9,"13km WSW of Niland, CA",2021-06-06 11:03:14 (UTC),4.8 km
5195,2.8,"12km WNW of Calipatria, CA",2021-06-06 10:56:06 (UTC),5.8 km
5196,4.5,"118 km WSW of Ternate, Indonesia",2021-06-06 10:23:48 (UTC),10.0 km
5197,4.4,"66 km S of Neiafu, Tonga",2021-06-06 10:21:31 (UTC),35.0 km
5198,4.2,"39 km NNW of Goroka, Papua New Guinea",2021-06-06 09:45:24 (UTC),105.5 km
5199,4.0,north of Franz Josef Land,2021-06-06 09:35:10 (UTC),10.0 km
5200,4.5,"27 km ENE of Santa Monica, Philippines",2021-06-06 09:27:57 (UTC),64.0 km
5201,4.8,"13 km NE of Santa Monica, Philippines",2021-06-06 09:09:44 (UTC),44.9 km
5202,5.2,"213 km NW of Tobelo, Indonesia",2021-06-06 09:07:32 (UTC),47.0 km
5203,4.3,"2 km E of Santa Monica, Philippines",2021-06-06 08:42:59 (UTC),35.0 km
5204,4.2,"27 km NE of Santa Monica, Philippines",2021-06-06 08:40:01 (UTC),35.0 km
5205,4.3,"9 km NW of Santa Monica, Philippines",2021-06-06 08:34:46 (UTC),10.0 km
5206,2.8,"12km WNW of Calipatria, CA",2021-06-06 08:08:02 (UTC),3.0 km
5207,3.8,"13km WSW of Niland, CA",2021-06-06 08:05:36 (UTC),9.8 km
5208,4.9,"30 km NE of Santa Monica, Philippines",2021-06-06 08:03:25 (UTC),57.3 km
5209,2.8,"150 km W of Gold Beach, Oregon",2021-06-06 07:35:02 (UTC),10.0 km
5210,4.2,"Southern Qinghai, China",2021-06-06 07:31:39 (UTC),10.0 km
5211,4.3,"8 km NE of Santa Monica, Philippines",2021-06-06 07:25:02 (UTC),35.0 km
5212,2.6,"10km WNW of Calipatria, CA",2021-06-06 06:33:17 (UTC),6.4 km
5213,2.5,"13km WNW of Calipatria, CA",2021-06-06 06:26:56 (UTC),6.6 km
5214,2.5,"12km WNW of Calipatria, CA",2021-06-06 06:05:09 (UTC),7.2 km
5215,4.5,Mauritius - Reunion region,2021-06-06 05:48:47 (UTC),10.0 km
5216,3.4,"34 km NW of San Antonio, Puerto Rico",2021-06-06 05:29:05 (UTC),62.0 km
5217,2.9,"165 km W of Gold Beach, Oregon",2021-06-06 05:23:03 (UTC),10.0 km
5218,2.6,"12km WSW of Niland, CA",2021-06-06 05:02:27 (UTC),3.9 km
5219,3.2,"13km WNW of Calipatria, CA",2021-06-06 05:01:30 (UTC),5.4 km
5220,5.3,"31 km N of Mehr?n, Iran",2021-06-06 04:54:23 (UTC),10.0 km
5221,2.6,"11km W of Calipatria, CA",2021-06-06 04:47:32 (UTC),6.9 km
5222,4.3,"25 km W of Manta, Ecuador",2021-06-06 04:31:55 (UTC),10.0 km
5223,4.5,"28 km W of Manta, Ecuador",2021-06-06 04:24:30 (UTC),10.0 km
5224,4.6,"118 km WSW of Ternate, Indonesia",2021-06-06 04:22:53 (UTC),10.0 km
5225,4.6,"113 km WSW of Ternate, Indonesia",2021-06-06 04:02:38 (UTC),10.0 km
5226,3.9,"6 km NE of Government Camp, Oregon",2021-06-06 03:51:37 (UTC),4.3 km
5227,4.4,"Izu Islands, Japan region",2021-06-06 03:46:54 (UTC),58.6 km
5228,4.5,"18 km NW of Santa Monica, Philippines",2021-06-06 03:40:18 (UTC),69.6 km
5229,2.5,"9 km NNE of Quinlan, Oklahoma",2021-06-06 03:38:57 (UTC),7.8 km
5230,4.9,"28 km NE of Santa Monica, Philippines",2021-06-06 03:21:02 (UTC),57.1 km
5231,4.4,central Mid-Atlantic Ridge,2021-06-06 03:18:06 (UTC),10.0 km
5232,3.6,"10km WNW of Calipatria, CA",2021-06-06 03:08:23 (UTC),9.3 km
5233,5.0,"42 km ENE of Santa Monica, Philippines",2021-06-06 02:59:24 (UTC),49.7 km
5234,2.5,"13km WSW of Niland, CA",2021-06-06 02:58:54 (UTC),6.0 km
5262,4.4,"36 km SE of Hihifo, Tonga",2021-06-06 02:44:28 (UTC),102.3 km
5263,4.5,null,2021-06-06 02:34:21 (UTC),10.0 km
5264,3.6,"34 km SSE of Cruz Bay, U.S. Virgin Islands",2021-06-06 01:47:54 (UTC),53.0 km
5265,2.6,"2 km E of P?hala, Hawaii",2021-06-06 01:39:31 (UTC),36.5 km
5266,5.2,north of Ascension Island,2021-06-06 01:30:43 (UTC),10.0 km
5267,2.9,"3 km S of P?hala, Hawaii",2021-06-06 01:29:39 (UTC),32.9 km
5268,4.8,Kermadec Islands region,2021-06-06 01:07:47 (UTC),10.0 km
5269,2.6,"54 km ESE of Pope-Vannoy Landing, Alaska",2021-06-06 00:54:53 (UTC),118.0 km
5270,4.3,"151 km WNW of Tiksi, Russia",2021-06-06 00:30:15 (UTC),10.0 km
5271,2.6,"12km WNW of Calipatria, CA",2021-06-06 00:15:10 (UTC),4.8 km
5272,2.8,"104 km WSW of Akhiok, Alaska",2021-06-05 23:57:48 (UTC),10.1 km
5273,2.6,"13km WNW of Calipatria, CA",2021-06-05 23:36:39 (UTC),4.8 km
5274,4.3,"177 km ESE of Iwaki, Japan",2021-06-05 23:23:31 (UTC),10.0 km
5275,4.0,"31 km ENE of Calama, Chile",2021-06-05 23:18:31 (UTC),114.1 km
5276,4.5,"132 km WSW of Ternate, Indonesia",2021-06-05 23:14:58 (UTC),10.0 km
5277,4.6,"111 km WSW of Ternate, Indonesia",2021-06-05 23:13:36 (UTC),10.0 km
5278,5.3,Molucca Sea,2021-06-05 22:57:38 (UTC),16.3 km
5279,4.1,"130 km N of Calama, Chile",2021-06-05 22:39:27 (UTC),128.8 km
5280,2.6,"4km NNE of Heber, CA",2021-06-05 22:37:58 (UTC),16.7 km
5281,4.9,Kermadec Islands region,2021-06-05 22:36:54 (UTC),10.0 km
5282,2.5,"25km NNE of Trona, CA",2021-06-05 22:25:11 (UTC),5.1 km
5283,3.4,"105 km ENE of Chignik, Alaska",2021-06-05 22:10:47 (UTC),81.8 km
5284,2.6,"9km WNW of Calipatria, CA",2021-06-05 22:10:19 (UTC),2.5 km
5285,2.5,"10km W of Calipatria, CA",2021-06-05 22:09:59 (UTC),3.7 km
5286,3.3,"10km W of Calipatria, CA",2021-06-05 21:49:39 (UTC),3.6 km
5287,4.3,"117 km SW of Ternate, Indonesia",2021-06-05 21:30:46 (UTC),10.0 km
5288,2.7,"12km N of Westmorland, CA",2021-06-05 21:30:13 (UTC),6.1 km
5289,4.8,"122 km WSW of Ternate, Indonesia",2021-06-05 21:11:40 (UTC),10.0 km
5290,4.2,off the west coast of the South Island of New Zealand,2021-06-05 20:49:02 (UTC),13.6 km
5291,4.5,Fiji region,2021-06-05 20:46:10 (UTC),617.8 km
5292,4.4,"238 km ESE of Labasa, Fiji",2021-06-05 20:30:47 (UTC),555.2 km
5293,4.9,"42 km ENE of Hinatuan, Philippines",2021-06-05 20:28:45 (UTC),59.5 km
5294,3.0,"6 km SE of La Parguera, Puerto Rico",2021-06-05 20:04:32 (UTC),12.0 km
5295,4.7,Kermadec Islands region,2021-06-05 19:53:20 (UTC),10.0 km
5296,2.8,"10km W of Calipatria, CA",2021-06-05 19:46:55 (UTC),6.6 km
5297,4.2,"109 km SSE of Sarangani, Philippines",2021-06-05 19:42:45 (UTC),82.8 km
5298,3.0,"11km NNW of Westmorland, CA",2021-06-05 19:41:04 (UTC),3.7 km
5299,4.1,"Izu Islands, Japan region",2021-06-05 19:38:39 (UTC),10.0 km
5300,2.9,"11km WNW of Calipatria, CA",2021-06-05 19:14:14 (UTC),5.5 km
5301,2.6,"8km WNW of Calipatria, CA",2021-06-05 19:07:07 (UTC),1.2 km
5302,2.5,"10km WNW of Calipatria, CA",2021-06-05 19:06:29 (UTC),5.1 km
5303,3.3,"11km WNW of Calipatria, CA",2021-06-05 19:05:31 (UTC),6.4 km
5304,2.9,"11km WNW of Calipatria, CA",2021-06-05 18:49:54 (UTC),7.9 km
5305,2.8,"10km WNW of Calipatria, CA",2021-06-05 18:48:20 (UTC),3.4 km
5306,2.7,"10km WNW of Calipatria, CA",2021-06-05 18:47:48 (UTC),3.4 km
5307,2.5,"11km N of Westmorland, CA",2021-06-05 18:33:38 (UTC),3.5 km
5335,3.0,"9km WNW of Calipatria, CA",2021-06-05 18:24:13 (UTC),3.2 km
5336,2.7,"10km WNW of Calipatria, CA",2021-06-05 18:24:06 (UTC),4.3 km
5337,4.1,"10km WNW of Calipatria, CA",2021-06-05 18:21:48 (UTC),7.1 km
5338,2.7,"12km WNW of Calipatria, CA",2021-06-05 18:21:08 (UTC),5.7 km
5339,2.8,"10km WNW of Calipatria, CA",2021-06-05 18:20:14 (UTC),4.7 km
5340,4.6,"47 km SSW of Banjar, Indonesia",2021-06-05 18:18:26 (UTC),65.5 km
5341,3.1,"11km N of Westmorland, CA",2021-06-05 18:17:37 (UTC),4.8 km
5342,3.3,"11km N of Westmorland, CA",2021-06-05 18:16:51 (UTC),7.0 km
5343,2.9,"10km WNW of Calipatria, CA",2021-06-05 18:16:14 (UTC),5.1 km
5344,2.7,"11km W of Calipatria, CA",2021-06-05 18:13:49 (UTC),3.1 km
5345,2.6,"10km WNW of Calipatria, CA",2021-06-05 18:13:21 (UTC),6.5 km
5346,2.5,"11km WNW of Calipatria, CA",2021-06-05 18:13:16 (UTC),6.6 km
5347,2.5,"11km W of Calipatria, CA",2021-06-05 18:12:53 (UTC),7.4 km
5348,2.8,"11km W of Calipatria, CA",2021-06-05 18:11:39 (UTC),7.3 km
5349,2.5,"10km WNW of Calipatria, CA",2021-06-05 18:08:10 (UTC),7.3 km
5350,2.5,"11km W of Calipatria, CA",2021-06-05 18:07:47 (UTC),5.5 km
5351,2.6,"10km W of Calipatria, CA",2021-06-05 18:07:20 (UTC),6.9 km
5352,3.5,"10km WNW of Calipatria, CA",2021-06-05 18:03:40 (UTC),5.3 km
5353,2.9,"11km W of Calipatria, CA",2021-06-05 18:03:05 (UTC),4.8 km
5354,2.6,"9km WNW of Calipatria, CA",2021-06-05 18:02:36 (UTC),3.9 km
5355,3.3,"11km WNW of Calipatria, CA",2021-06-05 18:01:04 (UTC),6.8 km
5356,2.9,"11km WNW of Calipatria, CA",2021-06-05 18:01:01 (UTC),5.8 km
5357,2.8,"11km N of Westmorland, CA",2021-06-05 18:00:51 (UTC),6.6 km
5358,2.9,"14km NNW of Westmorland, CA",2021-06-05 18:00:49 (UTC),2.9 km
5359,3.3,"12km WNW of Calipatria, CA",2021-06-05 17:59:06 (UTC),6.5 km
5360,3.4,"11km W of Calipatria, CA",2021-06-05 17:58:42 (UTC),7.6 km
5361,4.3,"10km WNW of Calipatria, CA",2021-06-05 17:57:21 (UTC),3.7 km
5362,5.3,"11km W of Calipatria, CA",2021-06-05 17:55:58 (UTC),5.8 km
5363,2.9,"11km W of Calipatria, CA",2021-06-05 17:55:39 (UTC),5.5 km
5364,2.6,"11km W of Calipatria, CA",2021-06-05 17:53:59 (UTC),5.7 km
5365,2.8,"11km W of Calipatria, CA",2021-06-05 17:53:03 (UTC),5.7 km
5366,2.6,"13km WSW of Toms Place, CA",2021-06-05 17:52:32 (UTC),4.0 km
5367,2.8,"11km W of Calipatria, CA",2021-06-05 17:52:29 (UTC),5.8 km
5368,3.0,"11km W of Calipatria, CA",2021-06-05 17:51:09 (UTC),3.1 km
5369,3.9,"12km N of Westmorland, CA",2021-06-05 17:50:50 (UTC),5.9 km
5370,2.7,"11km W of Calipatria, CA",2021-06-05 17:50:37 (UTC),5.2 km
5371,2.6,"10km N of Westmorland, CA",2021-06-05 17:49:31 (UTC),6.2 km
5372,2.6,"11km N of Westmorland, CA",2021-06-05 17:49:16 (UTC),6.0 km
5373,3.3,"12km N of Westmorland, CA",2021-06-05 17:48:58 (UTC),7.3 km
5374,3.9,"11km WNW of Calipatria, CA",2021-06-05 17:47:53 (UTC),4.0 km
5375,3.0,"11km N of Westmorland, CA",2021-06-05 17:47:50 (UTC),4.5 km
5376,3.1,"11km W of Calipatria, CA",2021-06-05 17:47:19 (UTC),4.6 km
5377,3.8,"11km N of Westmorland, CA",2021-06-05 17:46:39 (UTC),4.6 km
5378,3.6,"11km W of Calipatria, CA",2021-06-05 17:46:26 (UTC),5.9 km
5379,3.3,"12km N of Westmorland, CA",2021-06-05 17:46:21 (UTC),6.0 km
5380,4.1,"11km N of Westmorland, CA",2021-06-05 17:45:16 (UTC),4.6 km
5408,2.6,"24 km ENE of Sterling, Alaska",2021-06-05 17:42:50 (UTC),45.5 km
5409,3.2,"11km NNW of Westmorland, CA",2021-06-05 17:42:10 (UTC),3.8 km
5410,3.6,"10km N of Westmorland, CA",2021-06-05 17:40:51 (UTC),3.1 km
5411,2.9,"11km N of Westmorland, CA",2021-06-05 17:39:39 (UTC),3.5 km
5412,2.7,"11km N of Westmorland, CA",2021-06-05 17:39:37 (UTC),3.5 km
5413,2.8,"11km N of Westmorland, CA",2021-06-05 17:34:09 (UTC),6.0 km
5414,2.6,"11km N of Westmorland, CA",2021-06-05 17:33:40 (UTC),6.3 km
5415,2.5,"11km N of Westmorland, CA",2021-06-05 17:25:51 (UTC),3.2 km
5416,2.9,"11km W of Calipatria, CA",2021-06-05 15:08:21 (UTC),5.8 km
5417,4.1,"162 km SSW of Kencong, Indonesia",2021-06-05 15:06:44 (UTC),55.6 km
5418,2.5,"7 km SW of Volcano, Hawaii",2021-06-05 15:04:26 (UTC),1.8 km
5419,4.8,West Chile Rise,2021-06-05 13:47:18 (UTC),10.0 km
5420,4.4,"68 km WNW of Kirakira, Solomon Islands",2021-06-05 13:38:28 (UTC),95.3 km
5421,4.2,"298 km WNW of Haveluloto, Tonga",2021-06-05 13:38:04 (UTC),347.1 km
5422,4.5,"138 km WSW of Ternate, Indonesia",2021-06-05 13:24:47 (UTC),10.0 km
5423,4.7,"111 km WSW of Ternate, Indonesia",2021-06-05 13:02:16 (UTC),10.0 km
5424,2.9,"43 km NW of Toyah, Texas",2021-06-05 12:59:45 (UTC),6.6 km
5425,3.8,Alaska Peninsula,2021-06-05 12:43:07 (UTC),27.8 km
5426,2.7,"11km N of Westmorland, CA",2021-06-05 12:21:57 (UTC),2.2 km
5427,4.0,off the coast of Oregon,2021-06-05 12:20:57 (UTC),10.0 km
5428,2.7,"11km W of Calipatria, CA",2021-06-05 12:18:58 (UTC),4.0 km
5429,2.6,"10km N of Westmorland, CA",2021-06-05 12:18:37 (UTC),3.4 km
5430,5.0,South Shetland Islands,2021-06-05 12:14:35 (UTC),10.0 km
5431,4.4,"264 km S of Sinabang, Indonesia",2021-06-05 12:06:27 (UTC),10.0 km
5432,2.5,"74 km N of Chickaloon, Alaska",2021-06-05 11:31:10 (UTC),19.2 km
5433,4.8,"79 km SE of Katsuren-haebaru, Japan",2021-06-05 10:49:58 (UTC),10.0 km
5434,2.6,"163 km S of Atka, Alaska",2021-06-05 10:38:10 (UTC),27.4 km
5435,2.5,"20 km NNW of Indian Springs, Nevada",2021-06-05 10:16:19 (UTC),16.0 km
5436,4.1,"79 km N of Isangel, Vanuatu",2021-06-05 09:35:15 (UTC),237.8 km
5437,2.9,"40 km ENE of Kodiak, Alaska",2021-06-05 09:13:11 (UTC),14.9 km
5438,4.5,south of the Kermadec Islands,2021-06-05 08:52:47 (UTC),252.8 km
5439,2.8,"12 km NNW of Sabana, Puerto Rico",2021-06-05 08:12:54 (UTC),72.0 km
5440,4.4,"126 km WSW of Ternate, Indonesia",2021-06-05 07:10:00 (UTC),10.0 km
5441,3.1,"5 km WSW of Guánica, Puerto Rico",2021-06-05 05:41:35 (UTC),9.0 km
5442,3.2,"135km W of Petrolia, CA",2021-06-05 05:28:55 (UTC),23.3 km
5443,3.3,"65 km NNW of Solomon, Alaska",2021-06-05 05:27:51 (UTC),11.4 km
5444,4.5,"193 km S of Sofifi, Indonesia",2021-06-05 05:09:14 (UTC),10.0 km
5445,3.1,"4 km WSW of Fuig, Puerto Rico",2021-06-05 04:42:32 (UTC),9.0 km
5446,4.3,"193 km SSW of Waingapu, Indonesia",2021-06-05 04:05:50 (UTC),10.0 km
5447,4.2,"235 km ESE of Vakhrushev, Russia",2021-06-05 03:58:37 (UTC),475.4 km
5448,5.4,"160 km WNW of Constitución, Chile",2021-06-05 03:05:11 (UTC),5.1 km
5449,4.6,south of the Kermadec Islands,2021-06-05 02:31:36 (UTC),51.2 km
5450,5.2,null,2021-06-05 01:31:45 (UTC),10.0 km
5451,3.1,"149 km WSW of Port Orford, Oregon",2021-06-05 01:05:44 (UTC),10.0 km
5452,4.4,"63 km NW of Yonakuni, Japan",2021-06-05 00:01:01 (UTC),10.0 km
5453,3.8,"81 km S of Unalaska, Alaska",2021-06-04 23:04:29 (UTC),35.0 km
5481,3.1,"9 km ENE of Anoka, Nebraska",2021-06-04 22:50:40 (UTC),5.0 km
5482,3.0,"27 km W of Cantwell, Alaska",2021-06-04 22:40:28 (UTC),100.0 km
5483,4.4,"22 km NW of Hihifo, Tonga",2021-06-04 22:39:05 (UTC),106.0 km
5484,4.5,"72 km SSW of San Juan, Peru",2021-06-04 22:36:54 (UTC),10.0 km
5485,4.2,"33 km ENE of Tingo María, Peru",2021-06-04 22:29:53 (UTC),165.3 km
5486,2.9,"3 km ENE of P?hala, Hawaii",2021-06-04 22:25:21 (UTC),36.5 km
5487,4.1,"6 km NNW of Dali, China",2021-06-04 22:12:25 (UTC),10.0 km
5488,4.7,Reykjanes Ridge,2021-06-04 21:07:04 (UTC),10.0 km
5489,4.4,Reykjanes Ridge,2021-06-04 21:06:21 (UTC),10.0 km
5490,4.4,"Kermadec Islands, New Zealand",2021-06-04 21:05:32 (UTC),10.0 km
5491,4.5,Reykjanes Ridge,2021-06-04 21:05:24 (UTC),10.0 km
5492,4.5,Reykjanes Ridge,2021-06-04 21:02:45 (UTC),10.0 km
5493,4.2,"26 km S of Mandráki, Greece",2021-06-04 20:23:09 (UTC),20.9 km
5494,4.3,Reykjanes Ridge,2021-06-04 19:58:13 (UTC),10.0 km
5495,2.5,"39 km NNW of Glacier View, Alaska",2021-06-04 19:53:20 (UTC),28.1 km
5496,4.6,"236 km SSW of ‘Ohonua, Tonga",2021-06-04 19:50:17 (UTC),35.0 km
5497,4.3,Fiji region,2021-06-04 19:29:37 (UTC),372.9 km
5498,4.7,"149 km W of Gold Beach, Oregon",2021-06-04 19:28:11 (UTC),10.0 km
5499,3.0,"164 km W of Gold Beach, Oregon",2021-06-04 19:19:51 (UTC),10.0 km
5500,3.1,"3 km E of P?hala, Hawaii",2021-06-04 19:17:44 (UTC),36.7 km
5501,4.4,South Sandwich Islands region,2021-06-04 18:09:16 (UTC),10.0 km
5502,4.1,"130 km WSW of Ternate, Indonesia",2021-06-04 18:01:42 (UTC),10.0 km
5503,4.4,"44 km N of Pucallpa, Peru",2021-06-04 17:54:05 (UTC),157.1 km
5504,4.3,"Volcano Islands, Japan region",2021-06-04 17:36:06 (UTC),10.0 km
5505,4.8,"Volcano Islands, Japan region",2021-06-04 16:48:54 (UTC),112.4 km
5506,2.6,"8 km SW of La Parguera, Puerto Rico",2021-06-04 16:26:22 (UTC),7.0 km
5507,4.3,Taiwan region,2021-06-04 16:19:28 (UTC),10.0 km
5508,3.3,"37 km N of Isabela, Puerto Rico",2021-06-04 15:41:08 (UTC),48.0 km
5509,3.7,"10 km NE of Anoka, Nebraska",2021-06-04 15:25:00 (UTC),5.0 km
5510,5.0,"136 km WSW of Ternate, Indonesia",2021-06-04 15:24:47 (UTC),47.4 km
5511,4.9,"128 km WSW of Ternate, Indonesia",2021-06-04 15:17:48 (UTC),40.5 km
5512,4.6,"82 km NNW of Tocopilla, Chile",2021-06-04 14:46:25 (UTC),52.0 km
5513,4.8,"132 km WSW of Ternate, Indonesia",2021-06-04 14:07:56 (UTC),10.0 km
5514,5.4,"131 km WSW of Ternate, Indonesia",2021-06-04 13:45:13 (UTC),8.7 km
5515,4.3,"277 km S of Sinabang, Indonesia",2021-06-04 13:34:40 (UTC),10.0 km
5516,4.4,off the east coast of the North Island of New Zealand,2021-06-04 13:21:09 (UTC),73.9 km
5517,4.3,"Maug Islands region, Northern Mariana Islands",2021-06-04 13:07:07 (UTC),217.4 km
5518,2.6,"4 km SSE of P?hala, Hawaii",2021-06-04 12:52:04 (UTC),34.7 km
5519,4.4,"123 km WSW of Ternate, Indonesia",2021-06-04 12:24:14 (UTC),10.0 km
5520,4.6,"116 km WSW of Ternate, Indonesia",2021-06-04 11:47:35 (UTC),39.8 km
5521,3.8,"123 km W of Nikolski, Alaska",2021-06-04 11:44:35 (UTC),110.7 km
5522,2.7,"31 km SW of Glacier View, Alaska",2021-06-04 11:18:00 (UTC),31.8 km
5523,4.2,"37 km NNW of Ternate, Indonesia",2021-06-04 11:02:22 (UTC),130.9 km
5524,4.5,"296 km NNW of Sabang, Indonesia",2021-06-04 10:44:54 (UTC),10.0 km
5525,4.0,Banda Sea,2021-06-04 10:10:28 (UTC),155.0 km
5526,4.0,"157 km SSE of Isangel, Vanuatu",2021-06-04 09:56:12 (UTC),128.1 km
5554,4.6,"129 km WSW of Ternate, Indonesia",2021-06-04 09:25:45 (UTC),10.0 km
5555,3.6,"158 km W of Gold Beach, Oregon",2021-06-04 09:20:02 (UTC),10.0 km
5556,2.5,"45 km N of Valdez, Alaska",2021-06-04 09:06:23 (UTC),16.4 km
5557,4.1,Banda Sea,2021-06-04 08:57:31 (UTC),145.4 km
5558,4.2,"148 km W of Gold Beach, Oregon",2021-06-04 08:37:48 (UTC),10.0 km
5559,2.9,"1 km SW of P?hala, Hawaii",2021-06-04 08:34:20 (UTC),32.4 km
5560,4.5,"188 km WSW of Lata, Solomon Islands",2021-06-04 08:22:30 (UTC),10.0 km
5561,5.9,"149 km W of Gold Beach, Oregon",2021-06-04 08:17:00 (UTC),13.9 km
5562,3.9,"164 km W of Gold Beach, Oregon",2021-06-04 08:13:32 (UTC),10.0 km
5563,2.5,"62 km ENE of Ugashik, Alaska",2021-06-04 08:08:20 (UTC),131.6 km
5564,5.9,"153 km W of Gold Beach, Oregon",2021-06-04 07:52:43 (UTC),16.6 km
5565,2.5,"10 km NE of Hermleigh, Texas",2021-06-04 07:44:42 (UTC),7.7 km
5566,4.2,"119 km ESE of Madang, Papua New Guinea",2021-06-04 07:37:45 (UTC),233.8 km
5567,2.8,"2 km ENE of Maria Antonia, Puerto Rico",2021-06-04 07:25:22 (UTC),15.0 km
5568,4.3,"87 km SW of Atocha, Bolivia",2021-06-04 07:10:38 (UTC),250.8 km
5569,4.5,"111 km ENE of Hihifo, Tonga",2021-06-04 06:00:32 (UTC),10.0 km
5570,4.4,"Izu Islands, Japan region",2021-06-04 05:41:17 (UTC),127.2 km
5571,4.3,south of the Fiji Islands,2021-06-04 04:46:45 (UTC),532.1 km
5572,2.8,"4 km S of Indios, Puerto Rico",2021-06-04 04:06:08 (UTC),12.0 km
5573,4.1,south of the Kermadec Islands,2021-06-04 02:28:12 (UTC),307.0 km
5574,4.6,"49 km WSW of Las Lajitas, Argentina",2021-06-04 02:11:33 (UTC),43.8 km
5575,2.5,"4 km WSW of Fuig, Puerto Rico",2021-06-04 01:29:10 (UTC),9.0 km
5576,4.6,"4 km NNW of Thrapsanón, Greece",2021-06-04 01:05:26 (UTC),10.0 km
5577,2.7,"2 km ENE of Lluveras, Puerto Rico",2021-06-04 00:55:40 (UTC),17.0 km
5578,4.1,"86 km SSE of Pondaguitan, Philippines",2021-06-04 00:45:31 (UTC),140.9 km
5579,4.7,"126 km NW of Insrom, Indonesia",2021-06-04 00:28:38 (UTC),10.0 km
5580,4.4,"122 km ESE of Tondano, Indonesia",2021-06-03 23:07:16 (UTC),38.0 km
5581,3.3,"44 km NW of Aguadilla, Puerto Rico",2021-06-03 22:12:10 (UTC),11.0 km
5582,4.3,"43 km WSW of Corinto, Nicaragua",2021-06-03 21:58:50 (UTC),53.6 km
5583,4.3,"66 km E of Kokopo, Papua New Guinea",2021-06-03 21:50:51 (UTC),43.7 km
5584,3.6,"40 km S of Boca de Yuma, Dominican Republic",2021-06-03 21:32:59 (UTC),88.0 km
5585,2.7,"32 km NNE of Paxson, Alaska",2021-06-03 20:54:23 (UTC),6.7 km
5586,2.7,"39 km NNW of Stanley, Idaho",2021-06-03 20:51:54 (UTC),10.0 km
5587,4.1,"290 km ESE of Levuka, Fiji",2021-06-03 20:12:59 (UTC),496.1 km
5588,4.5,"136 km NNE of Hihifo, Tonga",2021-06-03 19:49:08 (UTC),10.0 km
5589,2.8,"15km WNW of Willow Creek, CA",2021-06-03 19:34:02 (UTC),23.2 km
5590,4.2,"136 km ESE of Kokopo, Papua New Guinea",2021-06-03 19:29:55 (UTC),10.0 km
5591,4.1,"67 km NW of Yonakuni, Japan",2021-06-03 19:29:43 (UTC),6.9 km
5592,4.1,"148 km WSW of Lebu, Chile",2021-06-03 19:26:05 (UTC),13.4 km
5593,4.1,"65 km NW of Yonakuni, Japan",2021-06-03 19:17:46 (UTC),10.0 km
5594,3.9,"69 km N of Chickaloon, Alaska",2021-06-03 18:11:15 (UTC),34.1 km
5595,5.1,"19 km S of Carora, Venezuela",2021-06-03 17:17:32 (UTC),10.0 km
5596,2.9,"43 km ESE of Naalehu, Hawaii",2021-06-03 17:12:18 (UTC),10.2 km
5597,4.6,"51 km SW of San Juan, Peru",2021-06-03 17:09:32 (UTC),4.9 km
5598,2.9,"46 km ESE of Naalehu, Hawaii",2021-06-03 17:06:24 (UTC),9.3 km
5599,4.1,"121 km NNE of Tobelo, Indonesia",2021-06-03 16:56:06 (UTC),220.6 km
5627,4.1,"107 km WSW of Ternate, Indonesia",2021-06-03 16:35:32 (UTC),42.8 km
5628,4.4,"156 km NNW of Ternate, Indonesia",2021-06-03 16:28:20 (UTC),58.9 km
5629,3.1,"47 km ESE of Naalehu, Hawaii",2021-06-03 15:54:16 (UTC),8.5 km
5630,2.9,"3 km WSW of Fuig, Puerto Rico",2021-06-03 15:39:13 (UTC),9.0 km
5631,4.5,"185 km SW of Lorengau, Papua New Guinea",2021-06-03 15:32:59 (UTC),10.0 km
5632,2.5,"74 km N of Chickaloon, Alaska",2021-06-03 15:18:33 (UTC),35.6 km
5633,4.8,"11 km SSW of Kamárai, Greece",2021-06-03 15:06:13 (UTC),61.8 km
5634,3.0,"61 km WSW of Nanwalek, Alaska",2021-06-03 14:44:18 (UTC),64.3 km
5635,4.9,"75 km ESE of Neiafu, Tonga",2021-06-03 14:32:14 (UTC),10.0 km
5636,4.9,"131 km ENE of ‘Ohonua, Tonga",2021-06-03 14:30:15 (UTC),10.0 km
5637,4.9,"156 km NW of Nuku‘alofa, Tonga",2021-06-03 14:09:50 (UTC),130.9 km
5638,4.7,"108 km WSW of Ternate, Indonesia",2021-06-03 13:53:54 (UTC),40.3 km
5639,2.7,"31 km SE of Mina, Nevada",2021-06-03 13:32:46 (UTC),9.5 km
5640,2.7,"57 km S of Whites City, New Mexico",2021-06-03 13:02:07 (UTC),7.6 km
5641,3.3,"7 km SW of Dibble, Oklahoma",2021-06-03 12:23:30 (UTC),11.8 km
